Order ID,Date,Customer ID,Region,Category,Product,Quantity,Price
1001,2023-01-01 00:00:00.000000000,CUST0103,North,Electronics,Laptop,2,3079
1002,2023-01-01 08:44:41.081081081,CUST0180,South,Groceries,Shirt,1,4869
1003,2023-01-01 17:29:22.162162162,CUST0093,West,Electronics,Shoes,5,1836
1004,2023-01-02 02:14:03.243243243,CUST0015,South,Fashion,TV,4,3711
1005,2023-01-02 10:58:44.324324324,CUST0107,West,Electronics,Headphones,5,2353
1006,2023-01-02 19:43:25.405405405,CUST0072,South,Groceries,Shoes,4,2394
1007,2023-01-03 04:28:06.486486486,CUST0189,East,Groceries,Mobile,3,3730
1008,2023-01-03 13:12:47.567567567,CUST0021,West,Groceries,TV,4,246
1009,2023-01-03 21:57:28.648648648,CUST0103,East,Fashion,Sofa,3,4082
1010,2023-01-04 06:42:09.729729729,CUST0122,North,Fashion,Shirt,1,3553
1011,2023-01-04 15:26:50.810810810,CUST0075,South,Furniture,Sofa,4,4607
1012,2023-01-05 00:11:31.891891891,CUST0088,North,Groceries,Sofa,5,2510
1013,2023-01-05 08:56:12.972972973,CUST0117,North,Electronics,Rice,3,236
1014,2023-01-05 17:40:54.054054054,CUST0100,North,Fashion,Shoes,5,3460
1015,2023-01-06 02:25:35.135135135,CUST0104,North,Groceries,Headphones,2,3105
1016,2023-01-06 11:10:16.216216216,CUST0152,South,Groceries,Laptop,3,3652
1017,2023-01-06 19:54:57.297297297,CUST0131,North,Fashion,Headphones,4,118
1018,2023-01-07 04:39:38.378378378,CUST0150,South,Furniture,Sofa,3,2342
1019,2023-01-07 13:24:19.459459459,CUST0053,South,Fashion,Mobile,5,548
1020,2023-01-07 22:09:00.540540540,CUST0002,East,Fashion,Shirt,1,2048
1021,2023-01-08 06:53:41.621621621,CUST0088,West,Electronics,Watch,3,1045
1022,2023-01-08 15:38:22.702702702,CUST0158,West,Electronics,Headphones,4,4336
1023,2023-01-09 00:23:03.783783783,CUST0038,South,Furniture,Sofa,2,2020
1024,2023-01-09 09:07:44.864864864,CUST0130,East,Groceries,Shirt,1,3077
1025,2023-01-09 17:52:25.945945946,CUST0192,South,Fashion,TV,2,4288
1026,2023-01-10 02:37:07.027027027,CUST0188,South,Furniture,Shoes,3,4115
1027,2023-01-10 11:21:48.108108108,CUST0021,South,Electronics,Table,5,338
1028,2023-01-10 20:06:29.189189189,CUST0161,East,Fashion,Rice,5,304
